City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
274,San Antero,CO,9.3741,-75.7589,82.58,76,84,4.68,broken clouds
275,Saint-Pierre,RE,-21.3393,55.4781,80.28,69,75,16.11,broken clouds
276,Quang Ngai,VN,15.1167,108.8,71.73,94,100,7.25,overcast clouds
277,Camacha,PT,33.0833,-16.3333,62.02,68,40,12.66,scattered clouds
278,Emba,KZ,48.8264,58.1442,15.58,77,15,5.73,few clouds
279,Bambanglipuro,ID,-7.95,110.2833,78.12,83,100,2.44,overcast clouds
280,Kavieng,PG,-2.5744,150.7967,81.52,76,91,3.65,light rain
281,Batetskiy,RU,58.6461,30.3027,8.2,97,68,4.92,broken clouds
282,Okhotsk,RU,59.3833,143.3,3.81,77,100,23.8,overcast clouds
283,Doha,QA,25.2867,51.5333,77.31,60,0,4.61,clear sky
284,Fukue,JP,32.6881,128.8419,51.04,60,100,15.84,overcast clouds
285,Grindavik,IS,63.8424,-22.4338,16.27,57,0,10.36,clear sky
286,Alta Floresta,BR,-9.8756,-56.0861,75.7,89,100,1.23,overcast clouds
287,Ouesso,CG,1.6136,16.0517,89.91,44,84,4.41,broken clouds
288,Nikel,RU,69.4128,30.222,12.38,88,100,2.21,overcast clouds
289,Jardim,BR,-21.4803,-56.1381,95.86,28,41,6.13,scattered clouds
290,Chuy,UY,-33.6971,-53.4616,68.11,53,81,14.5,broken clouds
291,Lompoc,US,34.6391,-120.4579,49.59,90,0,9.22,clear sky
292,Luderitz,NA,-26.6481,15.1594,69.57,83,71,9.95,broken clouds
293,Nishihara,JP,26.1842,127.7558,69.08,94,100,10.36,mist
294,Candolim,IN,15.5181,73.7626,82.4,54,1,4.61,clear sky
295,Zabid,YE,14.1951,43.3152,78.87,63,31,6.96,scattered clouds
296,Sakaiminato,JP,35.55,133.2333,39.18,87,75,5.75,broken clouds
297,Cap-Aux-Meules,CA,47.3821,-61.8597,35.65,75,75,17.27,broken clouds
298,Bafq,IR,31.6128,55.4107,58.93,27,100,5.57,overcast clouds
299,Spornoye,RU,50.8448,37.2913,31.98,98,99,6.76,overcast clouds
300,Fort Collins,US,40.5853,-105.0844,24.8,29,0,16.11,clear sky
